method,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,retrieval_mean_ms,retrieval_median_ms,retrieval_p95_ms,reranking_mean_ms,reranking_median_ms,reranking_p95_ms,total_pipeline_mean_ms,total_pipeline_median_ms,total_pipeline_p95_ms
keyword,0.11627906976744186,0.11627906976744186,0.11627906976744186,0.11627906976744186,0.11627906976744186,10.499348837209302,10.771,11.7113,,,,10.515627906976743,10.785,11.7275
semantic,0.4883720930232558,0.6511627906976745,0.7209302325581395,0.8372093023255814,0.601061277224068,82.52023255813953,81.231,103.39059999999998,,,,82.53595348837209,81.247,103.40549999999999
hybrid,0.5116279069767442,0.6744186046511628,0.7209302325581395,0.8372093023255814,0.6185031376891842,88.6093023255814,86.474,109.46809999999999,,,,88.63232558139535,86.496,109.49229999999999
hybrid_reranked,0.627906976744186,0.7441860465116279,0.7441860465116279,0.8372093023255814,0.6984126984126984,88.16060465116279,85.641,99.44269999999999,3567.340441860465,3558.542,4028.7634,3655.527209302326,3644.85,4123.4669
